,Association,Dx Name,Mx Name,Prevalence,Import,LR (+),LR (-)
212,"351, 935",PANCREATITIS ACUTE,CHOLANGIOGRAPHY COMMON DUCT IRREGULAR NARROWING DISTAL,0.01,5,1.0000000000000002,1.0
213,"351, 2898",PANCREATITIS ACUTE,PERITONEAL ASPIRATE ABUNDANT NEUTROPHIL <S>,0.01,5,11.000000000000064,0.908256880733945
214,"351, 2899",PANCREATITIS ACUTE,PERITONEAL ASPIRATE AMYLASE INCREASED,0.01,5,891.0000000000922,0.9001010214389943
215,"351, 2901",PANCREATITIS ACUTE,PERITONEAL ASPIRATE BLOODY,0.01,4,11.000000000000064,0.908256880733945
216,"351, 2905",PANCREATITIS ACUTE,PERITONEAL ASPIRATE OBTAINED,0.01,1,,
217,"351, 3748",PANCREATITIS ACUTE,SYNOVIUM BIOPSY CHRONIC INFLAMMATION,0.01,3,0.9999999999999991,1.0
218,"114, 59",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,0.001,2,111.00000000000114,0.9008115419296664
219,"114, 198",CHOLEDOCHOLITHIASIS,AGE 16 TO 25,0.001,3,,
220,"114, 199",CHOLEDOCHOLITHIASIS,AGE 26 TO 55,0.001,3,,
221,"114, 200",CHOLEDOCHOLITHIASIS,AGE GTR THAN 55,0.001,3,,
222,"114, 3304",CHOLEDOCHOLITHIASIS,SEX FEMALE,0.001,3,,
223,"114, 3305",CHOLEDOCHOLITHIASIS,SEX MALE,0.001,3,,
224,"114, 4061",CHOLEDOCHOLITHIASIS,WEIGHT LOSS GTR THAN 10 PERCENT,0.001,3,,
225,"114, 58",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM,0.001,3,111.00000000000114,0.502262443438914
226,"114, 78",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN PRESENT,0.001,2,,
227,"114, 89",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RIGHT UPPER QUADRANT,0.001,3,10.090909090909081,0.5260663507109005
228,"114, 92",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN SEVERE,0.001,3,10.090909090909081,0.9090081892629663
229,"114, 248",CHOLEDOCHOLITHIASIS,ANOREXIA,0.001,1,,
230,"114, 4022",CHOLEDOCHOLITHIASIS,VOMITING RECENT,0.001,2,,
231,"114, 108",CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS PRESENT,0.001,2,,
232,"114, 55",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN ACUTE,0.001,3,111.00000000000114,0.502262443438914
233,"114, 63",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,0.001,3,111.00000000000114,0.502262443438914
234,"114, 68",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN EXACERBATION WITH FOOD,0.001,2,10.090909090909081,0.9090081892629663
235,"114, 112",CHOLEDOCHOLITHIASIS,ABDOMEN TENDERNESS RIGHT UPPER QUADRANT <NON HEPATIC>,0.001,3,10.090909090909081,0.9090081892629663
236,"114, 2026",CHOLEDOCHOLITHIASIS,JAUNDICE,0.001,5,111.00000000000114,0.502262443438914
237,"114, 3404",CHOLEDOCHOLITHIASIS,SKIN LESION <S> PRESENT,0.001,2,,
238,"114, 216",CHOLEDOCHOLITHIASIS,ALKALINE PHOSPHATASE SERUM GTR THAN 2 TIMES NORMAL,0.001,4,111.00000000000114,0.502262443438914
239,"114, 217",CHOLEDOCHOLITHIASIS,ALKALINE PHOSPHATASE SERUM INCREASED NOT OVER 2 TIMES NORMAL,0.001,3,111.00000000000114,0.502262443438914
240,"114, 428",CHOLEDOCHOLITHIASIS,BILIRUBIN SERUM CONJUGATED INCREASED,0.001,3,110.9999999999993,0.25170068027210885
241,"114, 430",CHOLEDOCHOLITHIASIS,BILIRUBIN URINE PRESENT,0.001,3,111.00000000000114,0.502262443438914
242,"114, 3306",CHOLEDOCHOLITHIASIS,SERUM ASPARTATE AMINOTRANSFERASE <SGOT> 120 TO 400,0.001,4,10.090909090909195,0.9909820542880332
243,"114, 3307",CHOLEDOCHOLITHIASIS,SERUM ASPARTATE AMINOTRANSFERASE <SGOT> 40 TO 119,0.001,3,10.090909090909081,0.5260663507109005
244,"114, 3309",CHOLEDOCHOLITHIASIS,SERUM ALANINE AMINOTRANSFERASE <SGPT> 200 TO 600,0.001,4,10.090909090909195,0.9909820542880332
245,"114, 3310",CHOLEDOCHOLITHIASIS,SERUM ALANINE AMINOTRANSFERASE <SGPT> 40 TO 199,0.001,3,10.090909090909081,0.5260663507109005
246,"114, 3865",CHOLEDOCHOLITHIASIS,TRANSAMINASE <S> SERUM INCREASED,0.001,3,10.090909090909081,0.5260663507109005
247,"114, 1577",CHOLEDOCHOLITHIASIS,GALLBLADDER ORAL CHOLECYSTOGRAPHY NON VISUALIZED,0.001,3,110.9999999999993,0.25170068027210885
248,"114, 950",CHOLEDOCHOLITHIASIS,CHOLECYSTECTOMY HX,0.001,1,10.090909090909081,0.9090081892629663
249,"114, 1353",CHOLEDOCHOLITHIASIS,ETHNIC BACKGROUND AMERICAN INDIAN,0.001,2,,
250,"114, 2027",CHOLEDOCHOLITHIASIS,JAUNDICE CHRONIC PERSISTENT HX,0.001,3,10.090909090909081,0.9090081892629663
251,"114, 2028",CHOLEDOCHOLITHIASIS,JAUNDICE FAMILY HX,0.001,2,10.090909090909081,0.9090081892629663
252,"114, 2029",CHOLEDOCHOLITHIASIS,JAUNDICE INTERMITTENT HX,0.001,3,111.00000000000114,0.502262443438914
253,"114, 3128",CHOLEDOCHOLITHIASIS,RACE WHITE <CAUCASIAN>,0.001,2,,
254,"114, 3954",CHOLEDOCHOLITHIASIS,URINE DARK HX,0.001,1,110.9999999999993,0.25170068027210885
255,"114, 57",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN COLICKY,0.001,3,111.00000000000114,0.502262443438914
256,"114, 82",CHOLEDOCHOLITHIASIS,ABDOMEN PAIN RADIATING TO SCAPULAR AREA,0.001,3,10.090909090909081,0.9090081892629663
257,"114, 3459",CHOLEDOCHOLITHIASIS,SKIN PRURITUS,0.001,2,111.00000000000114,0.502262443438914
258,"114, 1516",CHOLEDOCHOLITHIASIS,FECES LIGHT COLORED,0.001,2,111.00000000000114,0.502262443438914
259,"114, 1580",CHOLEDOCHOLITHIASIS,GALLBLADDER PALPABLE,0.001,4,10.090909090909195,0.9909820542880332
260,"114, 1910",CHOLEDOCHOLITHIASIS,HEPATOMEGALY PRESENT,0.001,2,10.090909090909088,0.27007299270072993
261,"114, 2448",CHOLEDOCHOLITHIASIS,LIVER ENLARGED MODERATE,0.001,4,111.00000000000114,0.502262443438914
262,"114, 2449",CHOLEDOCHOLITHIASIS,LIVER ENLARGED SLIGHT,0.001,3,10.090909090909081,0.9090081892629663
263,"114, 2460",CHOLEDOCHOLITHIASIS,LIVER TENDER ON PALPATION,0.001,3,10.090909090909081,0.9090081892629663
264,"114, 3465",CHOLEDOCHOLITHIASIS,SKIN PURPURA OR ECCHYMOSIS,0.001,3,10.090909090909081,0.9090081892629663
265,"114, 183",CHOLEDOCHOLITHIASIS,ACTIVATED PARTIAL THROMBOPLASTIN TIME INCREASED,0.001,4,10.090909090909081,0.9090081892629663
266,"114, 953",CHOLEDOCHOLITHIASIS,CHOLESTEROL SERUM INCREASED,0.001,2,10.090909090909081,0.5260663507109005
267,"114, 2270",CHOLEDOCHOLITHIASIS,LDH SERUM GTR THAN 200,0.001,4,10.090909090909195,0.9909820542880332
268,"114, 3088",CHOLEDOCHOLITHIASIS,PROTHROMBIN TIME INCREASED,0.001,4,111.00000000000114,0.502262443438914
269,"114, 3995",CHOLEDOCHOLITHIASIS,UROBILINOGEN URINE ABSENT,0.001,4,111.00000000000114,0.9008115419296664
270,"114, 3996",CHOLEDOCHOLITHIASIS,UROBILINOGEN URINE INCREASED,0.001,3,10.090909090909081,0.9090081892629663
271,"114, 118",CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY COMMON BILE DUCT AND INTRAHEPATIC DUCT <S> DILATED,0.001,4,2996.9999999990705,0.500083430669114
272,"114, 119",CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY GALLBLADDER CONTAINING STONE <S>,0.001,3,111.00000000000114,0.9008115419296664
273,"114, 120",CHOLEDOCHOLITHIASIS,ABDOMEN ULTRASONOGRAPHY GALLBLADDER ENLARGED,0.001,3,10.090909090909195,0.9909820542880332
274,"114, 155",CHOLEDOCHOLITHIASIS,ABDOMEN XRAY GALLBLADDER CONTAINING STONE <S>,0.001,3,111.00000000000114,0.9008115419296664
275,"114, 1481",CHOLEDOCHOLITHIASIS,FACTOR VII PROCONVERTIN DECREASED,0.001,3,10.090909090909081,0.9090081892629663
276,"114, 933",CHOLEDOCHOLITHIASIS,CHOLANGIOGRAPHY COMMON DUCT AND INTRAHEPATIC DUCT <S> DILATED,0.001,4,2996.9999999990705,0.500083430669114
277,"114, 937",CHOLEDOCHOLITHIASIS,CHOLANGIOGRAPHY COMMON DUCT ROUND FILLING DEFECT <S>,0.001,4,8991.000000003194,0.25002085592725454
278,"114, 2014",CHOLEDOCHOLITHIASIS,INTESTINE RADIOISOTOPE SCAN NEGATIVE AFTER IV I131 ROSE BENGAL,0.001,3,111.00000000000114,0.9008115419296664
279,"114, 2381",CHOLEDOCHOLITHIASIS,LIVER BIOPSY BILE DUCT <S> ECTASIA,0.001,4,110.9999999999993,0.25170068027210885
280,"114, 2382",CHOLEDOCHOLITHIASIS,LIVER BIOPSY BILE PLUGGING,0.001,3,110.9999999999993,0.25170068027210885
281,"114, 2417",CHOLEDOCHOLITHIASIS,LIVER BIOPSY PERIDUCTAL CONCENTRIC FIBROSIS,0.001,4,111.00000000000114,0.9008115419296664
282,"114, 2420",CHOLEDOCHOLITHIASIS,LIVER BIOPSY PERIPORTAL FIBROSIS MILD,0.001,3,10.090909090909081,0.9090081892629663
283,"114, 2432",CHOLEDOCHOLITHIASIS,LIVER BIOPSY SMALL BILE DUCT <S> PROLIFERATION,0.001,3,110.9999999999993,0.25170068027210885
284,"187, 59",GASTRIC CARCINOMA,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,0.001,2,10.090909090909081,0.9090081892629663
285,"187, 198",GASTRIC CARCINOMA,AGE 16 TO 25,0.001,3,,
286,"187, 199",GASTRIC CARCINOMA,AGE 26 TO 55,0.001,3,,
287,"187, 200",GASTRIC CARCINOMA,AGE GTR THAN 55,0.001,3,,
288,"187, 1889",GASTRIC CARCINOMA,HEMATEMESIS HX,0.001,3,10.090909090909081,0.9090081892629663
289,"187, 3304",GASTRIC CARCINOMA,SEX FEMALE,0.001,3,,
290,"187, 3305",GASTRIC CARCINOMA,SEX MALE,0.001,3,,
291,"187, 4061",GASTRIC CARCINOMA,WEIGHT LOSS GTR THAN 10 PERCENT,0.001,3,,
292,"187, 56",GASTRIC CARCINOMA,ABDOMEN PAIN CHRONIC,0.001,3,10.090909090909088,0.27007299270072993
293,"187, 58",GASTRIC CARCINOMA,ABDOMEN PAIN EPIGASTRIUM,0.001,3,10.090909090909088,0.27007299270072993
294,"187, 60",GASTRIC CARCINOMA,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY ANTACID,0.001,2,10.090909090909081,0.9090081892629663
295,"187, 61",GASTRIC CARCINOMA,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY FOOD,0.001,2,10.090909090909081,0.9090081892629663
296,"187, 75",GASTRIC CARCINOMA,ABDOMEN PAIN NON COLICKY,0.001,3,10.090909090909088,0.27007299270072993
297,"187, 77",GASTRIC CARCINOMA,ABDOMEN PAIN PERIUMBILICAL,0.001,3,10.090909090909195,0.9909820542880332
298,"187, 78",GASTRIC CARCINOMA,ABDOMEN PAIN PRESENT,0.001,2,,
299,"187, 85",GASTRIC CARCINOMA,ABDOMEN PAIN RELIEVED BY FASTING,0.001,2,111.00000000000114,0.502262443438914
300,"187, 89",GASTRIC CARCINOMA,ABDOMEN PAIN RIGHT UPPER QUADRANT,0.001,3,10.090909090909081,0.9090081892629663
301,"187, 92",GASTRIC CARCINOMA,ABDOMEN PAIN SEVERE,0.001,3,10.090909090909081,0.9090081892629663
302,"187, 248",GASTRIC CARCINOMA,ANOREXIA,0.001,1,,
303,"187, 4022",GASTRIC CARCINOMA,VOMITING RECENT,0.001,2,,
304,"187, 102",GASTRIC CARCINOMA,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,0.001,3,10.090909090909081,0.5260663507109005
305,"187, 108",GASTRIC CARCINOMA,ABDOMEN TENDERNESS PRESENT,0.001,2,,
306,"187, 1512",GASTRIC CARCINOMA,FECES GUAIAC TEST POSITIVE,0.001,3,10.090909090909088,0.27007299270072993
307,"187, 3699",GASTRIC CARCINOMA,STOMACH BARIUM MEAL DEFORMITY ANTRUM,0.001,4,111.00000000000114,0.9008115419296664
308,"187, 3711",GASTRIC CARCINOMA,STOMACH BARIUM MEAL RUGAE ENLARGED,0.001,3,10.090909090909195,0.9909820542880332
309,"187, 3712",GASTRIC CARCINOMA,STOMACH BARIUM MEAL ULCER CRATER <S>,0.001,4,111.00000000000114,0.502262443438914
310,"187, 3720",GASTRIC CARCINOMA,STOMACH ENDOSCOPY DIFFUSE INFLAMMATION,0.001,2,10.090909090909081,0.5260663507109005
311,"187, 3731",GASTRIC CARCINOMA,STOMACH ENDOSCOPY ULCER CRATER <S>,0.001,4,111.00000000000114,0.502262443438914
312,"187, 63",GASTRIC CARCINOMA,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,0.001,3,111.00000000000114,0.502262443438914
313,"187, 68",GASTRIC CARCINOMA,ABDOMEN PAIN EXACERBATION WITH FOOD,0.001,2,10.090909090909081,0.5260663507109005
314,"187, 74",GASTRIC CARCINOMA,ABDOMEN PAIN LEFT UPPER QUADRANT,0.001,3,10.090909090909081,0.9090081892629663
315,"187, 79",GASTRIC CARCINOMA,ABDOMEN PAIN RADIATING TO BACK,0.001,3,111.00000000000114,0.9008115419296664
316,"187, 43",GASTRIC CARCINOMA,ABDOMEN MASS <ES> PRESENT <NON HEPATOSPLENIC>,0.001,4,10.090909090909081,0.9090081892629663
317,"187, 44",GASTRIC CARCINOMA,ABDOMEN MASS EPIGASTRIUM,0.001,5,111.00000000000114,0.9008115419296664
318,"187, 106",GASTRIC CARCINOMA,ABDOMEN TENDERNESS LEFT UPPER QUADRANT,0.001,3,10.090909090909195,0.9909820542880332
319,"187, 1531",GASTRIC CARCINOMA,FEVER,0.001,4,,
320,"187, 3448",GASTRIC CARCINOMA,SKIN PALLOR GENERALIZED,0.001,2,,
321,"187, 3762",GASTRIC CARCINOMA,TACHYCARDIA,0.001,1,,
322,"187, 4019",GASTRIC CARCINOMA,VOMITING COFFEE GROUND,0.001,3,10.090909090909081,0.9090081892629663
323,"187, 905",GASTRIC CARCINOMA,CHEST XRAY PLEURAL EFFUSION <S> SMALL,0.001,4,10.090909090909195,0.9909820542880332
324,"187, 1254",GASTRIC CARCINOMA,EKG SINUS TACHYCARDIA,0.001,1,,
325,"187, 1891",GASTRIC CARCINOMA,HEMATOCRIT BLOOD LESS THAN 35,0.001,3,10.090909090909081,0.5260663507109005
326,"187, 1897",GASTRIC CARCINOMA,HEMOGLOBIN BLOOD LESS THAN 12,0.001,3,10.090909090909081,0.5260663507109005
327,"187, 4033",GASTRIC CARCINOMA,WBC EOSINOPHIL <S> GTR THAN 400,0.001,2,10.090909090909195,0.9909820542880332
328,"187, 1892",GASTRIC CARCINOMA,HEMATOCRIT BLOOD RAPID DECREASE,0.001,5,10.090909090909081,0.9090081892629663
329,"187, 2989",GASTRIC CARCINOMA,PLEURAL FLUID OBTAINED BY THORACENTESIS,0.001,1,,
330,"187, 1360",GASTRIC CARCINOMA,RACE ASIAN <ORIENTAL>,0.001,2,,
331,"187, 1887",GASTRIC CARCINOMA,HEMATEMESIS AFTER FORCEFUL VOMITING,0.001,4,10.090909090909195,0.9909820542880332
332,"187, 1904",GASTRIC CARCINOMA,HEMORRHAGE GASTROINTESTINAL ACUTE RECENT HX,0.001,3,10.090909090909081,0.9090081892629663
333,"187, 3127",GASTRIC CARCINOMA,RACE BLACK <NEGRO>,0.001,2,,
334,"187, 87",GASTRIC CARCINOMA,ABDOMEN PAIN RELIEVED BY VOMITING,0.001,2,10.090909090909081,0.9090081892629663
335,"187, 1029",GASTRIC CARCINOMA,CONSTIPATION,0.001,1,,
336,"187, 1190",GASTRIC CARCINOMA,DYSPHAGIA LIQUID <S>,0.001,3,10.090909090909195,0.9909820542880332
337,"187, 1192",GASTRIC CARCINOMA,DYSPHAGIA SOLID <S>,0.001,3,10.090909090909081,0.9090081892629663
338,"187, 5",GASTRIC CARCINOMA,ABDOMEN BRUIT PRESENT,0.001,3,10.090909090909195,0.9909820542880332
339,"187, 6",GASTRIC CARCINOMA,ABDOMEN BRUIT SYSTOLIC EPIGASTRIUM,0.001,2,10.090909090909195,0.9909820542880332
340,"187, 49",GASTRIC CARCINOMA,ABDOMEN MASS LEFT UPPER QUADRANT <NON SPLENIC>,0.001,4,111.00000000000114,0.9008115419296664
341,"187, 1021",GASTRIC CARCINOMA,CONJUNCTIVA AND/OR MOUTH PALLOR,0.001,2,10.090909090909081,0.9090081892629663
342,"187, 1280",GASTRIC CARCINOMA,EMACIATION,0.001,3,,
343,"187, 1495",GASTRIC CARCINOMA,FECES BLACK TARRY,0.001,4,10.090909090909081,0.9090081892629663
344,"187, 1888",GASTRIC CARCINOMA,HEMATEMESIS GROSS,0.001,4,10.090909090909081,0.9090081892629663
345,"187, 2529",GASTRIC CARCINOMA,LYMPH NODE <S> ENLARGED,0.001,3,10.090909090909081,0.9090081892629663
346,"187, 3503",GASTRIC CARCINOMA,SKIN VITILIGO,0.001,2,10.090909090909081,0.9090081892629663
347,"187, 3918",GASTRIC CARCINOMA,UMBILICUS NODULE <S>,0.001,3,10.090909090909195,0.9909820542880332
348,"187, 205",GASTRIC CARCINOMA,ALBUMIN SERUM LESS THAN 3 GRAM <S> PER DL,0.001,3,10.090909090909081,0.5260663507109005
349,"187, 742",GASTRIC CARCINOMA,CALCIUM SERUM INCREASED,0.001,4,10.090909090909195,0.9909820542880332
350,"187, 952",GASTRIC CARCINOMA,CHOLESTEROL SERUM DECREASED,0.001,3,10.090909090909081,0.9090081892629663
351,"187, 1595",GASTRIC CARCINOMA,GLUCOSE PLASMA FASTING LESS THAN 45,0.001,3,10.090909090909195,0.9909820542880332
352,"187, 18",GASTRIC CARCINOMA,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS <ES> BILATERAL,0.001,4,10.090909090909195,0.9909820542880332
353,"187, 19",GASTRIC CARCINOMA,ABDOMEN COMPUTERIZED TOMOGRAPHY ADRENAL MASS UNILATERAL,0.001,4,10.090909090909195,0.9909820542880332
354,"187, 2953",GASTRIC CARCINOMA,PLEURA BIOPSY MALIGNANT NEOPLASM,0.001,5,10.090909090909195,0.9909820542880332
355,"187, 2979",GASTRIC CARCINOMA,PLEURAL FLUID MALIGNANT NEOPLASTIC CELL <S>,0.001,5,10.090909090909195,0.9909820542880332
356,"187, 3690",GASTRIC CARCINOMA,STOMACH ACIDITY AFTER PENTAGASTRIN PH GTR THAN 6,0.001,3,110.9999999999993,0.25170068027210885
357,"187, 3696",GASTRIC CARCINOMA,STOMACH ASPIRATE MALIGNANT NEOPLASTIC CELL <S>,0.001,5,8991.000000003194,0.25002085592725454
358,"187, 3698",GASTRIC CARCINOMA,STOMACH ASPIRATE GROSS BLOOD,0.001,3,10.090909090909081,0.9090081892629663
359,"187, 3703",GASTRIC CARCINOMA,STOMACH BARIUM MEAL FILLING DEFECT,0.001,4,8991.000000003194,0.500027807129748
360,"187, 3706",GASTRIC CARCINOMA,STOMACH BARIUM MEAL GASTRIC WALL RIGID,0.001,4,2996.999999997076,0.9000300310320665
361,"187, 3713",GASTRIC CARCINOMA,STOMACH BARIUM MEAL ULCER CRATER <S> DEEP,0.001,4,111.00000000000114,0.9008115419296664
362,"187, 2544",GASTRIC CARCINOMA,LYMPH NODE BIOPSY CARCINOMA CONTAINING MUCUS,0.001,5,111.00000000000114,0.9008115419296664
363,"187, 2567",GASTRIC CARCINOMA,LYMPH NODE BIOPSY MALIGNANT NEOPLASM <NON LYMPHOMA>,0.001,5,10.090909090909081,0.9090081892629663
364,"187, 3715",GASTRIC CARCINOMA,STOMACH ENDOSCOPY BIOPSY CARCINOMA,0.001,5,inf,0.25
365,"187, 3722",GASTRIC CARCINOMA,STOMACH ENDOSCOPY GASTRIC WALL RIGID,0.001,4,2996.999999997076,0.9000300310320665
366,"187, 3725",GASTRIC CARCINOMA,STOMACH ENDOSCOPY MASS,0.001,4,8991.000000003194,0.500027807129748
367,"187, 3728",GASTRIC CARCINOMA,STOMACH ENDOSCOPY RUGAE ENLARGED,0.001,3,10.090909090909195,0.9909820542880332
368,"187, 4146",GASTRIC CARCINOMA,LUNG BIOPSY PULMONARY ARTERY BRANCH <ES> CONTAINING NEOPLASM,0.001,5,111.00000000000114,0.9008115419296664
369,"352, 59",PANCREATITIS CHRONIC,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,0.001,2,111.00000000000114,0.502262443438914
370,"352, 64",PANCREATITIS CHRONIC,ABDOMEN PAIN EXACERBATION WITH ALCOHOL,0.001,2,2996.9999999990705,0.500083430669114
371,"352, 198",PANCREATITIS CHRONIC,AGE 16 TO 25,0.001,3,,
372,"352, 199",PANCREATITIS CHRONIC,AGE 26 TO 55,0.001,3,,
373,"352, 200",PANCREATITIS CHRONIC,AGE GTR THAN 55,0.001,3,,
374,"352, 208",PANCREATITIS CHRONIC,ALCOHOLISM CHRONIC HX,0.001,3,10.090909090909081,0.5260663507109005
375,"352, 3304",PANCREATITIS CHRONIC,SEX FEMALE,0.001,3,,
376,"352, 3305",PANCREATITIS CHRONIC,SEX MALE,0.001,3,,
377,"352, 4061",PANCREATITIS CHRONIC,WEIGHT LOSS GTR THAN 10 PERCENT,0.001,3,,
378,"352, 56",PANCREATITIS CHRONIC,ABDOMEN PAIN CHRONIC,0.001,3,110.9999999999993,0.25170068027210885
379,"352, 58",PANCREATITIS CHRONIC,ABDOMEN PAIN EPIGASTRIUM,0.001,3,10.090909090909088,0.27007299270072993
380,"352, 75",PANCREATITIS CHRONIC,ABDOMEN PAIN NON COLICKY,0.001,3,10.090909090909088,0.27007299270072993
381,"352, 78",PANCREATITIS CHRONIC,ABDOMEN PAIN PRESENT,0.001,2,,
382,"352, 85",PANCREATITIS CHRONIC,ABDOMEN PAIN RELIEVED BY FASTING,0.001,2,111.00000000000114,0.502262443438914
383,"352, 89",PANCREATITIS CHRONIC,ABDOMEN PAIN RIGHT UPPER QUADRANT,0.001,3,10.090909090909195,0.9909820542880332
384,"352, 92",PANCREATITIS CHRONIC,ABDOMEN PAIN SEVERE,0.001,3,111.00000000000114,0.502262443438914
385,"352, 248",PANCREATITIS CHRONIC,ANOREXIA,0.001,1,,
386,"352, 4022",PANCREATITIS CHRONIC,VOMITING RECENT,0.001,2,,
387,"352, 102",PANCREATITIS CHRONIC,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,0.001,3,10.090909090909081,0.9090081892629663
388,"352, 108",PANCREATITIS CHRONIC,ABDOMEN TENDERNESS PRESENT,0.001,2,,
389,"352, 2817",PANCREATITIS CHRONIC,PANCREATITIS ACUTE HX,0.001,3,111.00000000000114,0.502262443438914
390,"352, 63",PANCREATITIS CHRONIC,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,0.001,3,110.9999999999993,0.25170068027210885
391,"352, 68",PANCREATITIS CHRONIC,ABDOMEN PAIN EXACERBATION WITH FOOD,0.001,2,111.00000000000114,0.502262443438914
392,"352, 74",PANCREATITIS CHRONIC,ABDOMEN PAIN LEFT UPPER QUADRANT,0.001,3,111.00000000000114,0.9900891972249752
393,"352, 79",PANCREATITIS CHRONIC,ABDOMEN PAIN RADIATING TO BACK,0.001,3,111.00000000000114,0.502262443438914
394,"352, 86",PANCREATITIS CHRONIC,ABDOMEN PAIN RELIEVED BY SQUATTING,0.001,3,111.00000000000114,0.9008115419296664
395,"352, 1915",PANCREATITIS CHRONIC,HIP <S> PAIN,0.001,2,10.090909090909195,0.9909820542880332
396,"352, 2054",PANCREATITIS CHRONIC,JOINT <S> PAIN SEVERE,0.001,3,10.090909090909195,0.9909820542880332
397,"352, 2255",PANCREATITIS CHRONIC,KNEE <S> PAIN,0.001,2,10.090909090909195,0.9909820542880332
398,"352, 3313",PANCREATITIS CHRONIC,SHOULDER PAIN LEFT,0.001,2,10.090909090909195,0.9909820542880332
399,"352, 106",PANCREATITIS CHRONIC,ABDOMEN TENDERNESS LEFT UPPER QUADRANT,0.001,3,111.00000000000114,0.9900891972249752
400,"352, 112",PANCREATITIS CHRONIC,ABDOMEN TENDERNESS RIGHT UPPER QUADRANT <NON HEPATIC>,0.001,3,10.090909090909195,0.9909820542880332
401,"352, 188",PANCREATITIS CHRONIC,AFFECT APPREHENSIVE,0.001,2,,
402,"352, 1372",PANCREATITIS CHRONIC,EXTREMITY <IES> DRAINING SINUS <ES>,0.001,4,10.090909090909195,0.9909820542880332
403,"352, 1531",PANCREATITIS CHRONIC,FEVER,0.001,4,,
404,"352, 2039",PANCREATITIS CHRONIC,JOINT <S> EFFUSION,0.001,3,10.090909090909195,0.9909820542880332
405,"352, 2040",PANCREATITIS CHRONIC,JOINT <S> EXAM ABNORMAL,0.001,2,10.090909090909195,0.9909820542880332
406,"352, 2043",PANCREATITIS CHRONIC,JOINT <S> INVOLVEMENT FIRST METATARSOPHALANGEAL,0.001,3,10.090909090909195,0.9909820542880332
407,"352, 2044",PANCREATITIS CHRONIC,JOINT <S> INVOLVEMENT MONOARTICULAR,0.001,3,10.090909090909195,0.9909820542880332
408,"352, 2045",PANCREATITIS CHRONIC,JOINT <S> INVOLVEMENT POLYARTICULAR ASYMMETRICAL,0.001,3,10.090909090909195,0.9909820542880332
409,"352, 2058",PANCREATITIS CHRONIC,JOINT <S> RANGE OF MOTION DECREASED,0.001,3,10.090909090909195,0.9909820542880332
410,"352, 2061",PANCREATITIS CHRONIC,JOINT <S> TENDERNESS SWELLING REDNESS,0.001,4,10.090909090909195,0.9909820542880332
411,"352, 3404",PANCREATITIS CHRONIC,SKIN LESION <S> PRESENT,0.001,2,,
412,"352, 3444",PANCREATITIS CHRONIC,SKIN NODE <S> ANTERIOR THIGH <S> OR GLUTEAL AREA <S>,0.001,3,10.090909090909195,0.9909820542880332
413,"352, 3447",PANCREATITIS CHRONIC,SKIN NODE <S> TENDER RED RAISED,0.001,4,10.090909090909195,0.9909820542880332
414,"352, 3487",PANCREATITIS CHRONIC,SKIN SUBCUTANEOUS NODULE <S>,0.001,4,10.090909090909195,0.9909820542880332
415,"352, 3762",PANCREATITIS CHRONIC,TACHYCARDIA,0.001,1,,
416,"352, 1254",PANCREATITIS CHRONIC,EKG SINUS TACHYCARDIA,0.001,1,,
417,"352, 4033",PANCREATITIS CHRONIC,WBC EOSINOPHIL <S> GTR THAN 400,0.001,2,10.090909090909195,0.9909820542880332
418,"352, 235",PANCREATITIS CHRONIC,AMYLASE SERUM GTR THAN 2 TIMES NORMAL,0.001,4,111.00000000000114,0.9008115419296664
419,"352, 237",PANCREATITIS CHRONIC,AMYLASE URINE INCREASED,0.001,4,111.00000000000114,0.9008115419296664
420,"352, 494",PANCREATITIS CHRONIC,BONE <S> RADIOISOTOPE SCAN INCREASED UPTAKE LOCALIZED,0.001,3,10.090909090909195,0.9909820542880332
